INFO 2024-05-16 20:47:14,361 autoreload Watching for file changes with StatReloader
DEBUG 2024-05-16 20:47:14,720 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\rest_framework\compat.py first seen with mtime 1715804272.5353727
DEBUG 2024-05-16 20:47:14,720 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\contrib\postgres\lookups.py first seen with mtime 1715804226.4589424
DEBUG 2024-05-16 20:47:14,721 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\test\__init__.py first seen with mtime 1715804228.1304643
DEBUG 2024-05-16 20:47:14,722 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\json\decoder.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,722 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\DLLs\_lzma.pyd first seen with mtime 1712663462.0
DEBUG 2024-05-16 20:47:14,722 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\importlib\_abc.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,723 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\gzip.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,723 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\importlib\resources\__init__.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,724 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\random.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,724 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\contrib\auth\tokens.py first seen with mtime 1715804224.3455682
DEBUG 2024-05-16 20:47:14,725 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1715804228.2128177
DEBUG 2024-05-16 20:47:14,725 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\importlib\metadata\_text.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,726 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\ctypes\__init__.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,726 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\core\checks\security\base.py first seen with mtime 1715804227.7433066
DEBUG 2024-05-16 20:47:14,727 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\platform.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,728 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\warnings.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,728 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\email\mime\multipart.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,729 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\json\__init__.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,729 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\core\management\__init__.py first seen with mtime 1715804227.7793095
DEBUG 2024-05-16 20:47:14,730 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\db\models\sql\where.py first seen with mtime 1715804227.9593084
DEBUG 2024-05-16 20:47:14,730 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\bisect.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,731 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\core\checks\compatibility\__init__.py first seen with mtime 1715804227.739315
DEBUG 2024-05-16 20:47:14,731 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\contrib\contenttypes\fields.py first seen with mtime 1715804224.7431874
DEBUG 2024-05-16 20:47:14,732 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\contrib\admin\templatetags\admin_urls.py first seen with mtime 1715804223.94418
DEBUG 2024-05-16 20:47:14,732 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\db\models\base.py first seen with mtime 1715804227.9153051
DEBUG 2024-05-16 20:47:14,733 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\http\cookie.py first seen with mtime 1715804228.0773864
DEBUG 2024-05-16 20:47:14,733 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1715804227.735314
DEBUG 2024-05-16 20:47:14,734 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1715804228.18252
DEBUG 2024-05-16 20:47:14,735 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\rest_framework\utils\urls.py first seen with mtime 1715804272.875387
DEBUG 2024-05-16 20:47:14,736 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\base64.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,737 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\ctypes\wintypes.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,737 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\utils\itercompat.py first seen with mtime 1715804228.18025
DEBUG 2024-05-16 20:47:14,738 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\shortcuts.py first seen with mtime 1715804222.3893862
DEBUG 2024-05-16 20:47:14,738 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\forms\formsets.py first seen with mtime 1715804227.9673114
DEBUG 2024-05-16 20:47:14,739 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\db\models\deletion.py first seen with mtime 1715804227.9193065
DEBUG 2024-05-16 20:47:14,739 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\contrib\auth\password_validation.py first seen with mtime 1715804224.3415678
DEBUG 2024-05-16 20:47:14,740 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\psycopg2\_json.py first seen with mtime 1715804328.7672787
DEBUG 2024-05-16 20:47:14,740 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\rest_framework\exceptions.py first seen with mtime 1715804272.5393867
DEBUG 2024-05-16 20:47:14,741 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\wsgiref\util.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,742 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\rest_framework\utils\representation.py first seen with mtime 1715804272.871374
DEBUG 2024-05-16 20:47:14,742 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\email\_parseaddr.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,743 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\__init__.py first seen with mtime 1715804222.3893862
DEBUG 2024-05-16 20:47:14,743 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\utils\datastructures.py first seen with mtime 1715804228.1620514
DEBUG 2024-05-16 20:47:14,744 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\contrib\staticfiles\__init__.py first seen with mtime 1715804227.6821299
